Número Proveedor,Nombre Proveedor,tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razón Social,Tipo de Contribuyente,CUIT,Fecha,baja,activo,Frecuencia,f_donacion,Importe,Nro_Cuenta,Ciudad,Pais,Categor/a Proveedor,fecha_a,fecha_b,detalle_ing,tipoCta,importeResultados
D00020,RedSol Argentina,Empresa,Contacto T,-,RedSol Argentina@example.com,(011) 5000-0020,Observación 20,S.A,Monotributista,29-01234568-9,4/03/2024,01/04/2024,NO,Bimestral,4/3/2024,452948,403101,,,,4/3/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,452948
D00021,Grupo Synthesis,Empresa,Contacto U,-,Grupo Synthesis@example.com,(011) 5000-0021,Observación 21,S.A,Responsable Inscripto,20-12345680-1,16/04/2024,,SI,Anual,16/4/2024,359387,403101,,,,16/4/2024,,Donaciones Personales no recurrentes,Ingresos,359387
D00022,DeltaElectro,Empresa,Contacto V,-,DeltaElectro@example.com,(011) 5000-0022,Observación 22,S.A,Monotributista,21-23456781-2,4/02/2024,01/04/2024,NO,Mensual,4/2/2024,453421,402101,,,,4/2/2024,1/4/2024,Ingresos Institucionales mensuales,Ingresos,453421
D00023,SmartTech Argentina,Empresa,Contacto W,-,SmartTech Argentina@example.com,(011) 5000-0023,Observación 23,S.A,Responsable Inscripto,22-34567892-3,30/05/2024,,SI,Bimestral,30/5/2024,333679,403101,,,,30/5/2024,,Donaciones Personales no recurrentes,Ingresos,333679
D00024,NovaVisión,Empresa,Contacto X,-,NovaVisión@example.com,(011) 5000-0024,Observación 24,S.A,Monotributista,23-45678903-4,31/05/2024,,SI,Anual,31/5/2024,152261,403101,,,,31/5/2024,,Donaciones Personales no recurrentes,Ingresos,152261
D00025,InfoMática S.A.,Empresa,Contacto Y,-,InfoMática S.A.@example.com,(011) 5000-0025,Observación 25,S.A,Responsable Inscripto,24-56789014-5,8/06/2024,,SI,Mensual,8/6/2024,309782,402101,,,,8/6/2024,,Ingresos Institucionales mensuales,Ingresos,309782
D00026,Energía VIVA,Empresa,Contacto Z,-,Energía VIVA@example,(011) 5000-0026,Observación 26,S.A,Monotributista,25-67890125-6,13/06/2024,,SI,Bimestral,13/6/2024,270140,403101,,,,13/6/2024,,Donaciones Personales no recurrentes,Ingresos,270140
D00027,TransWorld,Empresa,Contacto AA,-,TransWorld@example.com,(011) 5000-0027,Observación 27,S.A,Responsable Inscripto,26-78901236-7,5/06/2024,,SI,Anual,5/6/2024,414446,403101,,,,5/6/2024,,Donaciones Personales no recurrentes,Ingresos,414446
D00028,Soluciones Urbanas,Empresa,Contacto BB,-,Soluciones Urbanas@example.com,(011) 5000-0028,Observación 28,,Monotributista,27-89012347-8,27/01/2024,01/04/2024,NO,Mensual,27/1/2024,218575,402101,,,,27/1/2024,1/4/2024,Ingresos Institucionales mensuales,Ingresos,218575
D00029,GlobalNet,Empresa,Contacto CC,-,GlobalNet@example.com,(011) 5000-0029,Observación 29,S.R.L,Responsable Inscripto,28-90123458-9,18/06/2024,,SI,Bimestral,18/6/2024,272633,403101,,,,18/6/2024,,Donaciones Personales no recurrentes,Ingresos,272633
D00030,FuturoTech,Empresa,Contacto DD,-,FuturoTech@example.com,(011) 5000-0030,Observación 30,S.R.L,Monotributista,29-01234569-0,22/01/2024,01/04/2024,NO,Anual,22/1/2024,445169,403101,,,,22/1/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,445169
D00031,InnovarX,Empresa,Contacto EE,-,InnovarX@example.com,(011) 5000-0031,Observación 31,S.R.L,Responsable Inscripto,20-12345681-3,5/06/2024,,SI,Mensual,5/6/2024,189438,402101,,,,5/6/2024,,Ingresos Institucionales mensuales,Ingresos,189438
D00032,Cobra Solutions,Empresa,Contacto FF,-,Cobra Solutions@example.com,(011) 5000-0032,Observación 32,S.R.L,Monotributista,21-23456782-4,7/05/2024,,SI,Bimestral,7/5/2024,115526,403101,,,,7/5/2024,,Donaciones Personales no recurrentes,Ingresos,115526
D00033,Metrópolis S.A.,Empresa,Contacto GG,-,Metrópolis S.A.@example.com,(011) 5000-0033,Observación 33,S.A,Responsable Inscripto,22-34567893-5,21/04/2024,,SI,Anual,21/4/2024,154409,403101,,,,21/4/2024,,Donaciones Personales no recurrentes,Ingresos,154409
D00034,Vortex Energía,Empresa,Contacto HH,-,Vortex Energía@example.com,(011) 5000-0034,Observación 34,S.R.L,Monotributista,23-45678904-6,1/06/2024,,SI,Mensual,1/6/2024,380153,402101,,,,1/6/2024,,Ingresos Institucionales mensuales,Ingresos,380153
D00035,EcoVisión,Empresa,Contacto II,-,EcoVisión@example.com,(011) 5000-0035,Observación 35,S.R.L,Responsable Inscripto,24-56789015-7,13/03/2024,01/04/2024,NO,Bimestral,13/3/2024,398095,403101,,,,13/3/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,398095
D00036,NexuTech,Empresa,Contacto JJ,-,NexuTech@example.com,(011) 5000-0036,Observación 36,S.R.L,Monotributista,25-67890126-8,,,SI,Anual,0/1/1900,385421,403101,,,,1/1/2024,,Donaciones Personales no recurrentes,Ingresos,385421
D00037,AlphaSystems,Empresa,Contacto KK,-,AlphaSystems@example.com,(011) 5000-0037,Observación 37,S.R.L,Responsable Inscripto,26-78901237-9,1/02/2024,01/04/2024,NO,Mensual,1/2/2024,397090,402101,,,,1/2/2024,1/4/2024,Ingresos Institucionales mensuales,Ingresos,397090
D00038,MetroLogística,Empresa,Contacto LL,-,MetroLogística@example.com,(011) 5000-0038,Observación 38,S.R.L,Monotributista,27-89012348-0,20/05/2024,,SI,Bimestral,20/5/2024,259341,403101,,,,20/5/2024,,Donaciones Personales no recurrentes,Ingresos,259341
D00039,Quantum Ventures,Empresa,Contacto MM,-,Quantum Ventures@example.com,(011) 5000-0039,Observación 39,S.R.L,Responsable Inscripto,28-90123459-1,28/06/2024,,SI,Anual,28/6/2024,406805,403101,,,,28/6/2024,,Donaciones Personales no recurrentes,Ingresos,406805
D00040,Orion Innovaciones,Empresa,Contacto NN,-,Orion Innovaciones@example.com,(011) 5000-0040,Observación 40,S.R.L,Monotributista,29-01234570-2,27/04/2024,,SI,Mensual,27/4/2024,333954,402101,,,,27/4/2024,,Ingresos Institucionales mensuales,Ingresos,333954
D00041,Jaan Pérez,Individuo,Contacto OO,Secretario,Jaan Pérez@example.com,(011) 5000-0041,Observación 41,-,Monotributista,20-12345682-4,29/02/2024,01/04/2024,NO,Bimestral,29/2/2024,86846,403101,,,,29/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,86846
D00042,Ana López,Individuo,Contacto PP,Analista,Ana López@example.com,(011) 5000-0042,Observación 42,-,Exento,21-23456783-5,14/06/2024,,SI,Anual,14/6/2024,167448,403101,,,,14/6/2024,,Donaciones Personales no recurrentes,Ingresos,167448
D00043,Jorge Rodríguez,Individuo,Contacto QQ,Director,Jorge Rodríguez@example,(011) 5000-0043,Observación 43,-,Responsable Inscripto,22-34567894-6,14/05/2024,,SI,Mensual,14/5/2024,70569,402102,,,,14/5/2024,,Donaciones Personales mensuales,Ingresos,70569
D00044,Sofía Díaz,Individuo,Contacto RR,Gerente,Sofía Díaz@example.com,(011) 5000-0044,Observación 44,-,Monotributista,23-45678905-7,3/04/2024,,SI,Bimestral,3/4/2024,130021,403101,,,,3/4/2024,,Donaciones Personales no recurrentes,Ingresos,130021
D00045,alejandro Torres,Individuo,Contacto SS,Cordinador,alejandro Torres@example.com,(011) 5000-0045,Observación 45,-,Exento,24-56789016-8,12/04/2024,,SI,Anual,12/4/2024,135342,403101,,,,12/4/2024,,Donaciones Personales no recurrentes,Ingresos,135342
D00046,Gabriela Ortiz,Individuo,Contacto TT,Asistente,Gabriela Ortiz@example.com,(011) 5000-0046,Observación 46,-,Responsable Inscripto,25-67890127-9,15/03/2024,01/04/2024,NO,Mensual,15/3/2024,55258,402102,,,,15/3/2024,1/4/2024,Donaciones Personales mensuales,Ingresos,55258
D00047,Sergio Rivas,Individuo,Contacto UU,Secretario,Sergio Rivas@example.com,(011) 5000-0047,Observación 47,-,Monotributista,26-78901238-0,11/04/2024,,SI,Bimestral,11/4/2024,104301,403101,,,,11/4/2024,,Donaciones Personales no recurrentes,Ingresos,104301
D00048,Patricia Navarro,Individuo,Contacto VV,Analista,Patricia Navarro@example.com,(011) 5000-0048,Observación 48,-,Exento,27-89012349-1,2/05/2024,,SI,Anual,2/5/2024,158669,403101,,,,2/5/2024,,Donaciones Personales no recurrentes,Ingresos,158669
D00049,Fernando Aguilar,Individuo,Contacto WW,Director,Fernando Aguilar@example.com,(011) 5000-0049,Observación 49,-,Responsable Inscripto,28-90123450-2,,,SI,Mensual,0/1/1900,166965,402102,,,,1/1/2024,,Donaciones Personales mensuales,Ingresos,166965
D00050,Isabel Ríos,Individuo,Contacto XX,Gerente,Isabel Ríos@example.com,(011) 5000-0050,Observación 50,-,Monotributista,29-01234571-3,30/01/2024,01/04/2024,NO,Bimestral,30/1/2024,151978,403101,,,,30/1/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,151978
D00051,Rafael Silva,Individuo,Contacto YY,Coordinador,Rafael Silva@example.com,(011) 5000-0051,Observación 51,-,Exento,20-12345683-6,17/04/2024,,SI,Anual,17/4/2024,176989,403101,,,,17/4/2024,,Donaciones Personales no recurrentes,Ingresos,176989
D00052,Mónica León,,Contacto ZZ,Asistente,Mónica León@example.com,(011) 5000-0052,Observación 52,-,Responsable Inscripto,21-23456784-7,4/02/2024,01/04/2024,NO,Mensual,4/2/2024,102271,403101,,,,4/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,102271
D00053,Héctor Salazar,Individuo,Contacto AAA,Secretario,Héctor Salazar@example.com,(011) 5000-0053,Observación 53,-,Monotributista,22-34567895-8,27/06/2024,,SI,Bimestral,27/6/2024,154758,403101,,,,27/6/2024,,Donaciones Personales no recurrentes,Ingresos,154758
D00054,Carolina Mendoza,Individuo,Contacto BBB,Analista,Carolina Mendoza@example.com,(011) 5000-0054,Observación 54,-,Exento,23-45678906-9,11/05/2024,,SI,Anual,11/5/2024,55466,403101,,,,11/5/2024,,Donaciones Personales no recurrentes,Ingresos,55466
D00055,Víctor Gil,Individuo,Contacto CCC,Director,Víctor Gil@example.com,(011) 5000-0055,Observación 55,-,Responsable Inscripto,24-56789017-0,7/04/2024,,SI,Mensual,7/4/2024,89589,402102,,,,7/4/2024,,Donaciones Personales mensuales,Ingresos,89589
D00056,Claudia Ponce,Individuo,Contacto DDD,Gerente,Claudia Ponce@example.com,(011) 5000-0056,Observación 56,-,Monotributista,25-67890128-1,22/04/2024,,SI,Bimestral,22/4/2024,75404,403101,,,,22/4/2024,,Donaciones Personales no recurrentes,Ingresos,75404
D00057,Mario Espinoza,Individuo,Contacto EEE,ccoordinador,Mario Espinoza@example.com,(011) 5000-0057,Observación 57,-,Exento,26-78901229-2,6/02/2024,01/04/2024,NO,Anual,6/2/2024,114077,403101,,,,6/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,114077
D00058,Rosa Cárdenas,Individuo,Contacto FFF,Asistente,Rosa Cárdenas@example.com,(011) 5000-0058,Observación 58,-,Responsable Inscripto,27-89012330-3,4/03/2024,01/04/2024,NO,Mensual,4/3/2024,174259,402102,,,,4/3/2024,1/4/2024,Donaciones Personales mensuales,Ingresos,174259
D00059,Adolfo Cabrera,Individuo,Contacto GGG,Secretario,Adolfo Cabrera@example.com,(011) 5000-0059,Observación 59,-,Monotributista,28-90123461-4,17/04/2024,,SI,Bimestral,17/4/2024,133689,403101,,,,17/4/2024,,Donaciones Personales no recurrentes,Ingresos,133689
D00060,Susana Muñoz,Individuo,Contacto HHH,Analista,Susana Muñoz@example.com,(011) 5000-0060,Observación 60,-,Exento,29-01234572-5,13/05/2024,,SI,Anual,13/5/2024,58351,403101,,,,13/5/2024,,Donaciones Personales no recurrentes,Ingresos,58351
D00061,Felipe Rojas,Individuo,Contacto III,Director,Felipe Rojas@example.com,(011) 5000-0061,Observación 61,-,Responsable Inscripto,20-12345684-7,17/03/2024,01/04/2024,NO,Mensual,17/3/2024,104373,402102,,,,17/3/2024,1/4/2024,Donaciones Personales mensuales,Ingresos,104373
D00062,Olga Vargas,Individuo,Contacto JJJ,Gerente,Olga Vargas@example.com,(011) 5000-0062,Observación 62,-,Monotributista,21-23456785-8,16/05/2024,,SI,Bimestral,16/5/2024,167335,403101,,,,16/5/2024,,Donaciones Personales no recurrentes,Ingresos,167335
D00063,Esteban Rosales,Individuo,Contacto KKK,Coordinador,Esteban Rosales@example.com,(011) 5000-0063,Observación 63,-,Exento,22-34567896-9,29/01/2024,01/04/2024,NO,Anual,29/1/2024,99055,403101,,,,29/1/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,99055
D00064,Emma Paredes,Individuo,Contacto LLL,Asistente,Emma Paredes@example.com,(011) 5000-0064,Observación 64,-,Responsable Inscripto,23-45678907-0,26/06/2024,,SI,Mensual,26/6/2024,60683,402102,,,,26/6/2024,,Donaciones Personales mensuales,Ingresos,60683
D00065,Joaquín Serrano,Individuo,Contacto MMM,Secretario,Joaquín Serrano@example.com,(011) 5000-0065,Observación 65,-,Monotributista,24-56789018-1,9/05/2024,,SI,Bimestral,9/5/2024,119390,403101,,,,9/5/2024,,Donaciones Personales no recurrentes,Ingresos,119390
D00066,Laura Márquez,Individuo,Contacto NNN,Analista,Laura Márquez@example.com,(011) 5000-0066,Observación 66,-,Exento,25-67890129-2,1/02/2024,01/04/2024,NO,Anual,1/2/2024,117232,403101,,,,1/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,117232
D00067,Damián Molina,Individuo,Contacto OOO,Director,Damián Molina@example.com,(011) 5000-0067,Observación 67,-,Responsable Inscripto,26-78901230-3,13/06/2024,,SI,Mensual,13/6/2024,100701,402102,,,,13/6/2024,,Donaciones Personales mensuales,Ingresos,100701
D00068,Viviana Herrera,Individuo,Contacto PPP,Gerente,Viviana Herrera@example.com,(011) 5000-0068,Observación 68,-,Monotributista,27-89012331-4,26/01/2024,01/04/2024,NO,Bimestral,26/1/2024,186202,403101,,,,26/1/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,186202
D00068,Viviana Herrera,,Contacto PPP,Gerente,Viviana Herrera@example.com,(011) 5000-0068,Observación 68,-,Monotributista,27-89012331-4,26/01/2024,01/04/2024,NO,Bimestral,26/1/2024,173157,403101,,,,26/1/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,173157
D00069,Agustín Martínez,Individuo,Contacto QQQ,Coordinador,Agustín Martínez@example,(011) 5000-0069,Observación 69,-,Exento,28-90123462-5,17/02/2024,01/04/2024,NO,Anual,17/2/2024,109167,403101,,,,17/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,109167
D00070,Clara Torres,Individuo,Contacto RRR,Asistente,Clara Torres@example.com,(011) 5000-0070,Observación 70,-,Responsable Inscripto,29-01234573-6,29/05/2024,,SI,Mensual,29/5/2024,121715,402102,,,,29/5/2024,,Donaciones Personales mensuales,Ingresos,121715
D00071,Ezequiel Delgado,Individuo,Contacto SSS,Secretario,Ezequiel Delgado@example.com,(011) 5000-0071,Observación 71,-,Monotributista,20-12345685-8,12/06/2024,,SI,Bimestral,12/6/2024,181679,403101,,,,12/6/2024,,Donaciones Personales no recurrentes,Ingresos,181679
D00072,Pilar Ortiz,Individuo,Contacto TTT,Analista,Pilar Ortiz@example.com,(011) 5000-0072,Observación 72,-,Exento,21-23456786-9,24/05/2024,,SI,Anual,24/5/2024,164792,403101,,,,24/5/2024,,Donaciones Personales no recurrentes,Ingresos,164792
D00073,Luciano Rivas,Individuo,Contacto UUU,Director,Luciano Rivas@example.com,(011) 5000-0073,Observación 73,-,Responsable Inscripto,22-34567897-0,12/04/2024,,SI,Mensual,12/4/2024,184834,402102,,,,12/4/2024,,Donaciones Personales mensuales,Ingresos,184834
D00074,Mía Morales,Individuo,Contacto VVV,Gerente,Mía Morales@example.com,(011) 5000-0074,Observación 74,-,Monotributista,23-45678908-1,19/02/2024,01/04/2024,NO,Bimestral,19/2/2024,173825,403101,,,,19/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,173825
D00075,Carlos Gómez,Individuo,Contacto WWW,COORDINADOR,Carlos Gómez@example.com,(011) 5000-0075,Observación 75,-,Exento,24-56789019-2,2/02/2024,01/04/2024,NO,Anual,2/2/2024,166200,403101,,,,2/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,166200
D00076,Mariana Fernández,Individuo,Contacto XXX,Asistente,Mariana Fernández@example.com,(011) 5000-0076,Observación 76,-,Responsable Inscripto,25-67890130-3,18/05/2024,,SI,Mensual,18/5/2024,106340,402102,,,,18/5/2024,,Donaciones Personales mensuales,Ingresos,106340
D00077,Luis Martínez,Individuo,Contacto YYY,Secretario,Luis Martínez@example,(011) 5000-0077,Observación 77,-,Monotributista,26-78901231-4,20/06/2024,,SI,Bimestral,20/6/2024,130340,403101,,,,20/6/2024,,Donaciones Personales no recurrentes,Ingresos,130340
D00078,Julia González,Individuo,Contacto ZZZ,Analista,Julia González@example.com,(011) 5000-0078,Observación 78,-,Exento,27-89012332-5,13/03/2024,01/04/2024,NO,Anual,13/3/2024,90786,403101,,,,13/3/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,90786
D00079,Ricardo López,,Contacto AAAA,Director,Ricardo López@example.com,(011) 5000-0079,Observación 79,-,Responsable Inscripto,28-90123463-6,6/03/2024,01/04/2024,NO,Mensual,6/3/2024,188151,403101,,,,6/3/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,188151
D00080,Silvia Ramírez,Individuo,Contacto BBBB,Gerente,Silvia Ramírez@example.com,(011) 5000-0080,Observación 80,-,Monotributista,29-01234574-7,30/06/2024,,SI,Bimestral,30/6/2024,136947,403101,,,,30/6/2024,,Donaciones Personales no recurrentes,Ingresos,136947
D00081,Martín Vargas,Individuo,Contacto CCCC,Coordinador,Martín Vargas@example.com,(011) 5000-0081,Observación 81,-,Exento,20-12345686-0,16/02/2024,01/04/2024,NO,Anual,16/2/2024,165727,403101,,,,16/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,165727
D00082,Natalia Castro,Individuo,Contacto DDDD,Asistente,Natalia Castro@example.com,(011) 5000-0082,Observación 82,-,Responsable Inscripto,21-23456787-1,24/06/2024,,SI,Mensual,24/6/2024,114296,402102,,,,24/6/2024,,Donaciones Personales mensuales,Ingresos,114296
D00083,alejandra Peña,Individuo,Contacto EEEE,Secretario,alejandra Peña@example,(011) 5000-0083,Observación 83,-,Monotributista,22-34567898-2,15/03/2024,01/04/2024,NO,Bimestral,15/3/2024,76383,403101,,,,15/3/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,76383
D00084,Santiago López,Individuo,Contacto FFFF,Analista,Santiago López@example.com,(011) 5000-0084,Observación 84,-,Exento,23-45678909-3,18/06/2024,,SI,Anual,18/6/2024,137963,403101,,,,18/6/2024,,Donaciones Personales no recurrentes,Ingresos,137963
D00085,Verónica Ruiz,Individuo,Contacto GGGG,Director,Verónica Ruiz@example.com,(011) 5000-0085,Observación 85,-,Responsable Inscripto,24-56789020-4,8/02/2024,01/04/2024,NO,Mensual,8/2/2024,63095,402102,,,,8/2/2024,1/4/2024,Donaciones Personales mensuales,Ingresos,63095
D00086,Andrés Silva,Individuo,Contacto HHHH,Gerente,Andrés Silva@example.com,(011) 5000-0086,Observación 86,-,Monotributista,25-67890131-5,5/04/2024,,SI,Bimestral,5/4/2024,113891,403101,,,,5/4/2024,,Donaciones Personales no recurrentes,Ingresos,113891
D00087,Patricia Gómez,Individuo,Contacto IIII,Coordinador,Patricia Gómez@example.com,(011) 5000-0087,Observación 87,-,Exento,26-78901232-6,22/02/2024,01/04/2024,NO,Anual,22/2/2024,125419,403101,,,,22/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,125419
D00088,Javier Morales,Individuo,Contacto JJJJ,Asistente,Javier Morales@example.com,(011) 5000-0088,Observación 88,-,Responsable Inscripto,27-89012333-7,28/06/2024,,SI,Mensual,28/6/2024,121338,402102,,,,28/6/2024,,Donaciones Personales mensuales,Ingresos,121338
D00089,Liliana Romero,Individuo,Contacto KKKK,Secretario,Liliana Romero@example.com,(011) 5000-0089,Observación 89,-,Monotributista,28-90123464-8,10/06/2024,,SI,Bimestral,10/6/2024,58739,403101,,,,10/6/2024,,Donaciones Personales no recurrentes,Ingresos,58739
D00090,Maximiliano Álvarez,Individuo,Contacto LLLL,Analista,Maximiliano Álvarez@example.com,(011) 5000-0090,Observación 90,-,Exento,29-01234575-9,10/04/2024,,SI,Anual,10/4/2024,65020,403101,,,,10/4/2024,,Donaciones Personales no recurrentes,Ingresos,65020
D00091,Elena Bravo,Individuo,Contacto MMMM,Director,Elena Bravo@example.com,(011) 5000-0091,Observación 91,-,Responsable Inscripto,20-12345687-0,22/04/2024,,SI,Mensual,22/4/2024,163410,402102,,,,22/4/2024,,Donaciones Personales mensuales,Ingresos,163410
D00092,Hugo Fernández,Individuo,Contacto NNNN,Gerente,Hugo Fernández@example.com,(011) 5000-0092,Observación 92,-,Monotributista,21-23456788-1,9/03/2024,01/04/2024,NO,Bimestral,9/3/2024,123679,403101,,,,9/3/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,123679
D00093,Diana Morales,Individuo,Contacto OOOO,Coordinador,Diana Morales@example.com,(011) 5000-0093,Observación 93,-,Exento,22-34567889-2,29/01/2024,01/04/2024,NO,Anual,29/1/2024,126605,403101,,,,29/1/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,126605
