CodProv,Nombre,Cuit,Tipo,CondIVA,obs,contacto,email,tel,categoria,importe,fecha,Ncuenta,ciudad,pais,DetalleEgreso,TipoCta,importeResultados
P00051,Gabriela Morales,30-45678905-3,MATERIALES,RESPONSABLE INSCR/ITO,,Gabriela Morales,gabriela.morales@correo.zom,AR1234-5678,S.A.,142460,17/3/2024,514100,,,Institucionales varios,Gastos,-142460
P00050,Servicios Zeta,30-32165499-2,SERVICIOS,monotribustista,,Servicios Zeta,servicios.zeta@empresa.zom,0123-4567,S.R.L.,184371,4/1/2024,509100,,,Servicios Soporte,Gastos,-184371
P00049,Mariana García,30-19283750-1,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Mariana García,mariana.garcia@correo.com,9012-3456,S.A.,43426,23/2/2024,506100,,,Insumos Pedagógicos,Gastos,-43426
P00047,Servicios SRL,30-97531246-9,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios SRL,servicios.srl@empresa.zom,7890-1234,S.R.L.,238252,1/5/2024,501400,,,Honorarios Asesoría General,Gastos,-238252
P00046,Pedro Ruiz,30-24681361-8,AGENTE IMPOSITIVO,RESPONSAB/LE INSCRIPTO,,Pedro Ruiz,pedro.ruiz@correo.com,6789-0123,S.R.L.,204022,26/1/2024,516000,,,Gastos varios,Gastos,-204022
P00045,Compañía Zeta,30-13579247-7,MATERIALES,monotribustista,,Gabriela Torres,gabriela.torres@empresa.com,5678-9012,S.A.,121389,29/6/2024,514100,,,Institucionales varios,Gastos,-121389
P00044,Grupo Beta,30-87654322-6,SERVICIOS,RESPONSABLE INSCR/ITO,,María Rodríguez,maria.rodriguez@correo.zom,4567-8901,S.R.L.,108214,20/3/2024,509100,,,Servicios Soporte,Gastos,-108214
P00043,Ricardo García,30-12345679-5,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Ricardo García,ricardo.garcia@empresa.zom,3456-7890,S.A.,42905,15/4/2024,506100,,,Insumos Pedagógicos,Gastos,-42905
P00042,Gabriela López,30-98765433-4,MATERIALES,RESPONSABLE INSCR/ITO,, Gabriela López,gabriela.lopez@correo.zom,2345-6789,S.R.L.,203310,14/2/2024,503100,,,Alimentación,Gastos,-203310
P00041,Proveedora SRL,30-45678904-3,SERVICIOS,MONOTRIBUTISTA,,Proveedora SRL,proveedora.srl@empresa.zom,1234-5678,S.R.L.,216059,19/1/2024,501400,,,Honorarios Asesoría General,Gastos,-216059
P00040,Javier Martínez,30-32165488-2,MATERIALES,RESPONSABLE INSCR/ITO,,Javier Martínez,javier.martinez@correo.com,0123-4567,S.R.L.,152989,18/3/2024,516000,,,Gastos varios,Gastos,-152989
P00039, Estudio Zeta,30-19283749-1,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Estudio Zeta,estudio.zeta@correo.zom,9012-3456,S.A.,201108,23/3/2024,514100,,,Institucionales varios,Gastos,-201108
P00038,Laura Fernández,30-86430978-0,SERVICIOS,MONOTRIBUTISTA,,Laura Fernández,laura.fernandez@empresa.zom,AR8901-2345,S.R.L.,10164,2/6/2024,509100,,,Servicios Soporte,Gastos,-10164
P00036,Consultora S.A.,30-24681360-8,SERVICIOS,RESPONSABLE INSCR/ITO,,Marcela Martínez,marcela.martinez@empresa.zom,6789-0123,S.R.L.,83555,4/1/2024,503100,,,Alimentación,Gastos,-83555
P00035, Victor Pérez,30-13579246-7,SERVICIOS,MONOTRIBUTISTA,,Victor Pérez,victor.perez@correo.zom,5678-9012,S.A.,212855,18/5/2024,501400,,,Honorarios Asesoría General,Gastos,-212855
P00034,Empresas SRL,30-87654321-1,MATERIALES,RESPONSABLE INSCR/ITO,,Ana López,ana.lopez@empresa.zom,4567-8901,S.R.L.,46612,2/3/2024,516000,,,Gastos varios,Gastos,-46612
P00033,Servicios & Co.,30-12345679-0,SERVICIOS,MONOTRIBUTISTA,,Gabriela Sánchez,gabriela.sanchez@correo.zom,3456-7890,S.A.,32000,29/1/2024,514100,,,Institucionales varios,Gastos,-32000
P00033,Servicios & Co.,30-12345679-0,SERVICIOS,MONOTRIBUTISTA,,Gabriela Sánchez,gabriela.sanchez@correo.zom,3456-7890,S.A.,150420,29/3/2024,514100,,,Institucionales varios,Gastos,-150420
P00032,Repuestos Zeta,30-98765430-5,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Roberto Ruiz,roberto.ruiz@empresa.zom,2345-6789,S.R.L.,156568,1/1/2024,509100,,,Servicios Soporte,Gastos,-156568
P00031,María Gómez,30-45678903-4,MATERIALES,MONOTRIBUTISTA,,María Gómez,maria.gomez@correo.zom,1234-5678,S.A.,209204,20/1/2024,506100,,,Insumos Pedagógicos,Gastos,-209204
P00029,Grupo Omega,30-19283748-2,SERVICIOS,MONOTRIBUTISTA,,Laura Fernández,laura.fernandez@correo.com,9012-3456,S.A.,217766,12/3/2024,501400,,,Honorarios Asesoría General,Gastos,-217766
P00028,Andrés Martínez,30-86430977-1,MATERIALES,RESPONSAB/LE INSCRIPTO,,Andrés Martínez,andres.martinez@correo.zom,8901-2345,S.R.L.,220966,25/3/2024,516000,,,Gastos varios,Gastos,-220966
P00027,Compañía Zeta,30-97531248-0,SERVICIOS,RESPONSABLE INSCR/ITO,, Ana García,ana.garcia@empresa.com,7890-1234,S.A.,24710,29/2/2024,514100,,,Institucionales varios,Gastos,-24710
P00026,Carlos López,30-24681359-9,MATERIALES,MONOTRIBUTISTA,,Carlos López,carlos.lopez@correo.com,6789-0123,S.R.L.,92650,9/1/2024,509100,,,Servicios Soporte,Gastos,-92650
P00025,Servicios Delta,30-13579249-8,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Sergio García,sergio.garcia@empresa.zom,5678-9012,S.A.,231991,30/5/2024,506100,,,Insumos Pedagógicos,Gastos,-231991
P00024,Mariana Rodríguez,30-87654330-7,SERVICIOS,MONOTRIBUTISTA,,Mariana Rodríguez,mariana.rodriguez@correo.zom,4567-8901,S.R.L.,246479,11/3/2024,503100,,,Alimentación,Gastos,-246479
P00023, Inversiones Sigma,30-12345670-6,SERVICIOS,RESPONSAB/LE INSCRIPTO,,Carlos Jiménez,carlos.jimenez@empresa.com,3456-7890,S.A.,128799,12/1/2024,501400,,,Honorarios Asesoría General,Gastos,-128799
P00022,Roberto Morales,30-98765431-5,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,229012,10/6/2024,516000,,,Gastos varios,Gastos,-229012
P00022,Roberto Morales,30-98765431-5,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,165406,27/2/2024,514100,,,Institucionales varios,Gastos,-165406
P00021,Distribuciones ABC,30-65432199-4,SERVICIOS,monotribustista,,Francisco Gómez,francisco.gomez@correo.zom,1234-5678,S.A.,122880,6/5/2024,509100,,,Servicios Soporte,Gastos,-122880
P00020,Juegos del Norte,30-45678902-3,MATERIALES,RESPONSABLE INSCR/ITO,,Pablo Fernández,pablo.fernandez@empresa.zom,0123-4567,S.R.L.,122127,17/3/2024,506100,,,Insumos Pedagógicos,Gastos,-122127
P00019,Ana López,30-32165498-1,SERVICIOS,RESPONSAB/LE INSCRIPTO,,Ana López,ana.lopez@correo.com,9012-3456,S.A.,128838,6/4/2024,503100,,,Alimentación,Gastos,-128838
P00018,Consultora Zeta,30-19283747-0,SERVICIOS,RESPONSABLE INSCR/ITO,, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,62378,3/1/2024,501400,,,Honorarios Asesoría General,Gastos,-62378
P00017,Julio Fernández,30-86430976-9,MATERIALES,MONOTRIBUTISTA,,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,121086,1/5/2024,516000,,,Gastos varios,Gastos,-121086
P00016,Marketing Global,30-97531247-8,SERVICIOS,RESPONSABLE INSCR/ITO,,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,234752,9/4/2024,514100,,,Institucionales varios,Gastos,-234752
P00015,Rosa Pérez,30-24681358-6,AGENTE IMPOSITIVO,RESPONSAB/LE INSCRIPTO,,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,115620,24/5/2024,509100,,,Servicios Soporte,Gastos,-115620
P00014,Estudio Jurídico Alfa,30135792487,MATERIALES,RESPONSABLE INSCR/ITO,,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,78723,15/1/2024,506100,,,Insumos Pedagógicos,Gastos,-78723
P00013,Repuestos Omega,30-45678901-2,SERVICIOS,MONOTRIBUTISTA,, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,165070,14/4/2024,503100,,,Alimentación,Gastos,-165070
P00012,Proveedor Ltda.,30-32165487-0,SERVICIOS,RESPONSABLE INSCR/ITO,,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,29110,9/4/2024,501400,,,Honorarios Asesoría General,Gastos,-29110
P00010,Soluciones Gama,30-98765432-1,SERVICIOS,RESPONSABLE INSCR/ITO,,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,28033,28/1/2024,514100,,,Institucionales varios,Gastos,-28033
P00009,Fernando Gómez,30-12345679-8,MATERIALES,RESPONSAB/LE INSCRIPTO,, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,98854,20/1/2024,509100,,,Servicios Soporte,Gastos,-98854
P00008,Compañía Beta,30-74859632-7,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,58428,12/6/2024,506100,,,Insumos Pedagógicos,Gastos,-58428
P00007,Ana Sánchez,30-19283746-4,SERVICIOS,RESPONSABLE INSCR/ITO,,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,101603,6/5/2024,503100,,,Alimentación,Gastos,-101603
P00006,Grupo Alfa,30-97531246-1,SERVICIOS,RESPONSAB/LE INSCRIPTO,,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,S.R.L.,150678,9/1/2024,501400,,,Honorarios Asesoría General,Gastos,-150678
P00005, Carlos Méndez,30123456789,SERVICIOS,MONOTRIBUTISTA,, Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,173227,28/3/2024,514100,,,Institucionales varios,Gastos,-173227
P00005, Carlos Méndez,30123456789,SERVICIOS,MONOTRIBUTISTA,,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,30808,14/4/2024,516000,,,Gastos varios,Gastos,-30808
P00004,Servicios AB,30-24681357-2,AGENTE IMPOSITIVO,RESPONSAB/LE INSCRIPTO,,Laura Ruiz,laura.ruiz@correo.zom,AR4567-8901,S.R.L.,72357,9/3/2024,509100,,,Servicios Soporte,Gastos,-72357
P00003,Empresa XYZ,30135792463,MATERIALES,RESPONSABLE INSCR/ITO,,María López,maria.lopez@empresa.com,3456-7890,S.A.,139687,18/1/2024,506100,,,Insumos Pedagógicos,Gastos,-139687
P00002,Pedro González,30-87654321-0,SERVICIOS,MONOTRIBUTISTA,,Pedro González,pedro.gonzalez@correo.zom,2345-6789,S.R.L.,18521,8/2/2024,503100,,,Alimentación,Gastos,-18521
P00001,Proveedora S.A.,30-12345678-9,SERVICIOS,RESPONSABLE INSCR/ITO,,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,189954,18/3/2024,501400,,,Honorarios Asesoría General,Gastos,-189954
D00055,Servicios Alpha,30-24681360-6,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,S.A.,55617,15/3/2024,506100,,,Insumos Pedagógicos,Gastos,-55617
D00053,Estudio Jurídico Zeta,30-12345678-5,SERVICIOS,RESPONSABLE INSCR/ITO,,Estudio Jurídico,estudio.zeta@correo.com,3456-7890,S.A.,164873,3/1/2024,501400,,,Honorarios Asesoría General,Gastos,-164873
D00048,Estudio Jurídico Beta,,MATERIALES,MONOTRIBUTISTA,,Estudio Jurídico,estudio.juridico@correo.zom,8901-2345,S.R.L.,204368,19/4/2024,503100,,,Alimentación,Gastos,-204368
D00037,Distribuciones AB,30-97531245-9,MATERIALES,RESPONSAB/LE INSCRIPTO,,Gabriela Ruiz,gabriela.ruiz@correo.com,7890-1234,S.A.,75330,8/3/2024,506100,,,Insumos Pedagógicos,Gastos,-75330
D00030,Constructora Beta,30-32165499-3,SERVICIOS,RESPONSABLE INSCR/ITO,,Ricardo Martínez,ricardo.martinez@empresa.zom,0123-4567,S.R.L.,23335,7/1/2024,503100,,,Alimentación,Gastos,-23335
D00011,Javier López,30-65432198-7,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Javier López,javier.lopez@correo.zom,1234-5678,S.A.,117106,4/6/2024,516000,,,Gastos varios,Gastos,-117106
P00028,Andrés Martínez,30-86430977-1,MATERIALES,RESPONSAB/LE INSCRIPTO,,Andrés Martínez,andres.martinez@correo.zom,8901-2345,S.R.L.,209460,6/5/2024,516000,,,Gastos varios,Gastos,-209460
P00027,Compañía Zeta,30-97531248-0,SERVICIOS,RESPONSABLE INSCR/ITO,, Ana García,ana.garcia@empresa.com,7890-1234,S.A.,224365,26/3/2024,514100,,,Institucionales varios,Gastos,-224365
P00026,Carlos López,30-24681359-9,MATERIALES,MONOTRIBUTISTA,,Carlos López,carlos.lopez@correo.com,6789-0123,S.R.L.,185402,7/5/2024,509100,,,Servicios Soporte,Gastos,-185402
P00025,Servicios Delta,30-13579249-8,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Sergio García,sergio.garcia@empresa.zom,5678-9012,S.A.,156680,5/6/2024,506100,,,Insumos Pedagógicos,Gastos,-156680
P00024,Mariana Rodríguez,30-87654330-7,SERVICIOS,MONOTRIBUTISTA,,Mariana Rodríguez,mariana.rodriguez@correo.zom,4567-8901,S.R.L.,108316,2/4/2024,503100,,,Alimentación,Gastos,-108316
P00023, Inversiones Sigma,30-12345670-6,SERVICIOS,RESPONSAB/LE INSCRIPTO,,Carlos Jiménez,carlos.jimenez@empresa.com,3456-7890,S.A.,197818,29/2/2024,501400,,,Honorarios Asesoría General,Gastos,-197818
P00022,Roberto Morales,30-98765431-5,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,174615,14/3/2024,516000,,,Gastos varios,Gastos,-174615
P00022,Roberto Morales,30-98765431-5,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,214016,18/1/2024,514100,,,Institucionales varios,Gastos,-214016
P00021,Distribuciones ABC,30-65432199-4,SERVICIOS,monotribustista,,Francisco Gómez,francisco.gomez@correo.zom,1234-5678,S.A.,270035,28/3/2024,509100,,,Servicios Soporte,Gastos,-270035
P00020,Juegos del Norte,30-45678902-3,MATERIALES,RESPONSABLE INSCR/ITO,,Pablo Fernández,pablo.fernandez@empresa.zom,0123-4567,S.R.L.,292966,15/4/2024,506100,,,Insumos Pedagógicos,Gastos,-292966
P00019,Ana López,30-32165498-1,SERVICIOS,RESPONSAB/LE INSCRIPTO,,Ana López,ana.lopez@correo.com,9012-3456,S.A.,207617,17/5/2024,503100,,,Alimentación,Gastos,-207617
P00018,Consultora Zeta,30-19283747-0,SERVICIOS,RESPONSABLE INSCR/ITO,, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,299795,4/2/2024,501400,,,Honorarios Asesoría General,Gastos,-299795
P00017,Julio Fernández,30-86430976-9,MATERIALES,MONOTRIBUTISTA,,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,252040,5/3/2024,516000,,,Gastos varios,Gastos,-252040
P00016,Marketing Global,30-97531247-8,SERVICIOS,RESPONSABLE INSCR/ITO,,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,158655,10/4/2024,514100,,,Institucionales varios,Gastos,-158655
P00015,Rosa Pérez,30-24681358-6,AGENTE IMPOSITIVO,RESPONSAB/LE INSCRIPTO,,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,234322,19/5/2024,509100,,,Servicios Soporte,Gastos,-234322
P00014,Estudio Jurídico Alfa,30-13579248-7,MATERIALES,RESPONSABLE INSCR/ITO,,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,248954,19/6/2024,506100,,,Insumos Pedagógicos,Gastos,-248954
